player_name,position,team,proj_fpts,clean_name,depth_chart_order,search_rank,custom_rank,vorp,tier,rank
CeeDee Lamb,WR,DAL,218.2,ceedee lamb,1.0,9.0,8.0,195.0,Tier 1,1
Nico Collins,WR,HOU,214.9,nico collins,1.0,23.0,15.5,191.7,Tier 1,2
A.J. Brown,WR,NE,202.9,aj brown,1.0,19.0,14.0,179.7,Tier 1,3
Justin Jefferson,WR,MIN,201.5,justin jefferson,1.0,11.0,8.5,178.3,Tier 2,4
George Pickens,WR,DAL,200.8,george pickens,2.0,24.0,17.5,177.6,Tier 2,5
Drake London,WR,ATL,199.3,drake london,1.0,17.0,11.0,176.1,Tier 2,6
Jahmyr Gibbs,RB,DET,395.3,jahmyr gibbs,1.0,1.0,1.0,173.9,Tier 1,7
Bijan Robinson,RB,ATL,394.9,bijan robinson,1.0,1.0,1.5,173.5,Tier 1,8
Chris Olave,WR,NO,189.8,chris olave,1.0,30.0,20.0,166.6,Tier 2,9
Malik Nabers,WR,NYG,188.4,malik nabers,1.0,28.0,21.5,165.2,Tier 2,10
DeVonta Smith,WR,PHI,186.3,devonta smith,1.0,34.0,25.0,163.1,Tier 2,11
Ladd McConkey,WR,LAC,184.8,ladd mcconkey,1.0,39.0,32.0,161.6,Tier 3,12
Mike Evans,WR,SF,183.2,mike evans,1.0,60.0,41.5,160.0,Tier 3,13
Emeka Egbuka,WR,TB,183.1,emeka egbuka,1.0,39.0,29.0,159.9,Tier 3,14
Tee Higgins,WR,CIN,182.5,tee higgins,2.0,34.0,27.5,159.3,Tier 3,15
Garrett Wilson,WR,NYJ,180.4,garrett wilson,1.0,38.0,29.0,157.2,Tier 3,16
Jaylen Waddle,WR,DEN,180.1,jaylen waddle,1.0,42.0,34.0,156.9,Tier 3,17
Tetairoa McMillan,WR,CAR,179.9,tetairoa mcmillan,1.0,36.0,27.0,156.7,Tier 3,18
Rashee Rice,WR,KC,177.10000000000002,rashee rice,1.0,27.0,20.0,153.9,Tier 3,19
Christian McCaffrey,RB,SF,373.8,christian mccaffrey,1.0,5.0,4.0,152.4,Tier 1,20
Christian Watson,WR,GB,175.0,christian watson,1.0,64.0,43.0,151.8,Tier 3,21
Terry McLaurin,WR,WAS,174.50000000000003,terry mclaurin,1.0,53.0,40.5,151.3,Tier 3,22
Parker Washington,WR,JAX,168.20000000000002,parker washington,1.0,71.0,54.5,145.0,Tier 4,23
Rome Odunze,WR,CHI,167.2,rome odunze,1.0,63.0,43.5,144.0,Tier 4,24
Brian Thomas,WR,JAX,158.5,brian thomas,2.0,72.0,54.5,135.3,Tier 4,25
Davante Adams,WR,LAR,152.7,davante adams,2.0,46.0,31.5,129.5,Tier 4,26
Marvin Harrison,WR,ARI,149.0,marvin harrison,1.0,74.0,52.0,125.8,Tier 4,27
DK Metcalf,WR,PIT,146.3,dk metcalf,1.0,73.0,51.0,123.1,Tier 4,28
Alec Pierce,WR,IND,145.60000000000002,alec pierce,1.0,94.0,63.5,122.4,Tier 4,29
Courtland Sutton,WR,DEN,138.9,courtland sutton,2.0,72.0,52.0,115.7,Tier 4,30
Carnell Tate,WR,TEN,138.5,carnell tate,1.0,61.0,48.5,115.3,Tier 4,31
Matthew Golden,WR,GB,136.1,matthew golden,3.0,123.0,85.0,112.9,Tier 4,32
Josh Allen,QB,BUF,377.5,josh allen,1.0,4.0,2.5,106.9,Tier 1,33
Jonathan Taylor,RB,IND,316.4,jonathan taylor,1.0,4.0,4.0,95.0,Tier 2,34
Brock Bowers,TE,LV,253.8,brock bowers,1.0,21.0,11.0,94.4,Tier 1,35
Trey McBride,TE,ARI,250.9,trey mcbride,1.0,22.0,12.0,91.5,Tier 1,36
James Cook,RB,BUF,302.7,james cook,1.0,5.0,5.0,81.3,Tier 2,37
Omarion Hampton,RB,LAC,293.2,omarion hampton,1.0,12.0,10.5,71.8,Tier 2,38
Derrick Henry,RB,BAL,291.7,derrick henry,1.0,7.0,6.5,70.3,Tier 2,39
Ashton Jeanty,RB,LV,291.4,ashton jeanty,1.0,12.0,12.5,70.0,Tier 2,40
Saquon Barkley,RB,PHI,290.4,saquon barkley,1.0,12.0,9.5,69.0,Tier 3,41
De'Von Achane,RB,MIA,290.0,devon achane,1.0,8.0,9.5,68.6,Tier 3,42
Chase Brown,RB,CIN,289.5,chase brown,1.0,16.0,13.0,68.1,Tier 3,43
Drake Maye,QB,NE,334.5,drake maye,1.0,7.0,4.5,63.9,Tier 1,44
Jeremiyah Love,RB,ARI,284.5,jeremiyah love,1.0,15.0,15.5,63.1,Tier 3,45
Kenneth Walker,RB,KC,284.1,kenneth walker,1.0,18.0,13.0,62.7,Tier 3,46
Lamar Jackson,QB,BAL,331.5,lamar jackson,1.0,11.0,7.0,60.9,Tier 2,47
Jalen Hurts,QB,PHI,324.9,jalen hurts,1.0,30.0,17.0,54.3,Tier 2,48
Kyren Williams,RB,LAR,272.5,kyren williams,1.0,13.0,12.5,51.1,Tier 3,49
Josh Jacobs,RB,GB,272.4,josh jacobs,1.0,20.0,17.0,51.0,Tier 3,50
Jayden Daniels,QB,WAS,320.9,jayden daniels,1.0,18.0,12.0,50.3,Tier 2,51
Breece Hall,RB,NYJ,271.3,breece hall,1.0,27.0,22.0,49.9,Tier 3,52
Cam Skattebo,RB,NYG,263.6,cam skattebo,1.0,37.0,27.5,42.2,Tier 3,53
Denver Broncos,DEF,DEN,236.0,denver broncos,1.0,150.0,75.5,42.0,Tier 1,54
Caleb Williams,QB,CHI,308.8,caleb williams,1.0,18.0,12.5,38.2,Tier 2,55
Jaxson Dart,QB,NYG,307.5,jaxson dart,1.0,35.0,23.5,36.9,Tier 2,56
Joe Burrow,QB,CIN,307.4,joe burrow,1.0,15.0,10.0,36.8,Tier 3,57
Javonte Williams,RB,DAL,257.8,javonte williams,1.0,32.0,23.5,36.4,Tier 4,58
Houston Texans,DEF,HOU,230.0,houston texans,1.0,151.0,76.5,36.0,Tier 2,59
Bo Nix,QB,DEN,306.4,bo nix,1.0,42.0,25.5,35.8,Tier 3,60
Colston Loveland,TE,CHI,193.8,colston loveland,1.0,37.0,20.0,34.4,Tier 2,61
Jack Campbell,LB,DET,168.8625,jack campbell,1.0,103.0,103.0,34.1,Tier 1,62
Bucky Irving,RB,TB,255.1,bucky irving,1.0,32.0,25.5,33.7,Tier 4,63
Tyler Warren,TE,IND,191.6,tyler warren,1.0,47.0,25.5,32.2,Tier 2,64
Myles Garrett,DL,LAR,131.275,myles garrett,1.0,83.0,83.0,31.5,Tier 1,65
Seattle Seahawks,DEF,SEA,225.0,seattle seahawks,1.0,152.0,77.5,31.0,Tier 2,66
Bhayshul Tuten,RB,JAX,252.0,bhayshul tuten,1.0,44.0,33.0,30.6,Tier 4,67
Travis Etienne,RB,NO,251.5,travis etienne,1.0,34.0,27.5,30.1,Tier 4,68
Dak Prescott,QB,DAL,299.8,dak prescott,1.0,43.0,25.5,29.2,Tier 3,69
Harold Fannin,TE,CLE,187.1,harold fannin,1.0,63.0,34.0,27.7,Tier 2,70
Justin Herbert,QB,LAC,298.2,justin herbert,1.0,30.0,20.0,27.6,Tier 3,71
Brock Purdy,QB,SF,297.5,brock purdy,1.0,49.0,30.0,26.9,Tier 3,72
Tyler Shough,QB,NO,297.1,tyler shough,1.0,85.0,51.0,26.5,Tier 3,73
Kyle Pitts,TE,ATL,185.6,kyle pitts,1.0,69.0,37.5,26.2,Tier 3,74
Trevor Lawrence,QB,JAX,296.7,trevor lawrence,1.0,38.0,26.0,26.1,Tier 3,75
Minnesota Vikings,DEF,MIN,220.0,minnesota vikings,1.0,153.0,78.5,26.0,Tier 3,76
D'Andre Swift,RB,CHI,246.8,dandre swift,1.0,47.0,33.5,25.4,Tier 4,77
Thomas Booker,DL,LV,125.0,thomas booker,1.0,9999999.0,9999999.0,25.2,Tier 2,78
Jacob Martin,DL,TEN,125.0,jacob martin,1.0,9999999.0,9999999.0,25.2,Tier 4,79
Levi Drake Rodriguez,DL,MIN,125.0,levi drake rodriguez,1.0,9999999.0,9999999.0,25.2,Tier 2,80
Javon Kinlaw,DL,WAS,125.0,javon kinlaw,1.0,700.0,700.0,25.2,Tier 2,81
Tim Settle,DL,WAS,125.0,tim settle,1.0,9999999.0,9999999.0,25.2,Tier 3,82
Vernon Broughton,DL,NO,125.0,vernon broughton,1.0,9999999.0,9999999.0,25.2,Tier 3,83
Maason Smith,DL,ATL,125.0,maason smith,1.0,9999999.0,9999999.0,25.2,Tier 3,84
Cory Durden,DL,NE,125.0,cory durden,1.0,9999999.0,9999999.0,25.2,Tier 3,85
Yahya Black,DL,PIT,125.0,yahya black,1.0,9999999.0,9999999.0,25.2,Tier 3,86
Jared Goff,QB,DET,293.7,jared goff,1.0,63.0,38.0,23.1,Tier 4,87
Brian Burns,DL,NYG,121.775,brian burns,1.0,134.0,134.0,22.0,Tier 4,88
Aidan Hutchinson,DL,DET,121.5875,aidan hutchinson,1.0,80.0,80.0,21.8,Tier 4,89
Los Angeles Chargers,DEF,LAC,215.0,los angeles chargers,1.0,154.0,80.5,21.0,Tier 3,90
Carson Schwesinger,LB,CLE,155.0875,carson schwesinger,1.0,99.0,99.0,20.3,Tier 1,91
Kyler Murray,QB,MIN,290.8,kyler murray,1.0,95.0,56.5,20.2,Tier 4,92
Patrick Mahomes,QB,KC,290.4,patrick mahomes,1.0,38.0,27.0,19.8,Tier 4,93
Nick Cross,DB,WAS,137.3375,nick cross,1.0,174.0,174.0,17.7,Tier 1,94
Kyle Hamilton,DB,BAL,136.91250000000002,kyle hamilton,1.0,126.0,126.0,17.3,Tier 1,95
Matthew Stafford,QB,LAR,287.6,matthew stafford,1.0,74.0,44.5,17.0,Tier 4,96
Los Angeles Rams,DEF,LAR,210.0,los angeles rams,1.0,155.0,80.5,16.0,Tier 3,97
Nakobe Dean,LB,LV,149.6875,nakobe dean,1.0,167.0,167.0,14.9,Tier 1,98
Travis Kelce,TE,KC,174.1,travis kelce,1.0,92.0,51.0,14.7,Tier 3,99
Nick Bolton,LB,KC,149.45,nick bolton,1.0,169.0,169.0,14.6,Tier 1,100
Quinshon Judkins,RB,CLE,235.8,quinshon judkins,1.0,45.0,34.0,14.4,Tier 4,101
Foyesade Oluokun,LB,JAX,148.8625,foyesade oluokun,1.0,151.0,151.0,14.1,Tier 1,102
Roquan Smith,LB,BAL,148.8125,roquan smith,1.0,96.0,96.0,14.0,Tier 1,103
Kam Curl,DB,LAR,133.25,kam curl,1.0,191.0,191.0,13.6,Tier 1,104
Maxx Crosby,DL,LV,112.9875,maxx crosby,1.0,90.0,90.0,13.2,Tier 4,105
Philadelphia Eagles,DEF,PHI,206.0,philadelphia eagles,1.0,156.0,82.0,12.0,Tier 3,106
Kevin Byard,DB,NE,131.10000000000002,kevin byard,1.0,252.0,252.0,11.5,Tier 1,107
Danielle Hunter,DL,HOU,110.95,danielle hunter,1.0,177.0,177.0,11.2,Tier 4,108
Austin Ajiake,LB,IND,145.0,austin ajiake,1.0,9999999.0,9999999.0,10.2,Tier 2,109
Cooper McDonald,LB,KC,145.0,cooper mcdonald,1.0,9999999.0,9999999.0,10.2,Tier 2,110
Trey Moore,LB,MIA,145.0,trey moore,1.0,664.0,664.0,10.2,Tier 2,111
Dennis Gardeck,LB,JAX,145.0,dennis gardeck,1.0,9999999.0,9999999.0,10.2,Tier 2,112
