season,manager,roster_id,reg_wins,reg_losses,reg_fpts,fpts_against,final_finish_rank
2026,addyrao,1,0,0,0.0,0.0,10
2026,skongara,2,0,0,0.0,0.0,10
2026,bluewatermelon,3,0,0,0.0,0.0,10
2026,DjBallz,4,0,0,0.0,0.0,10
2026,vnayini,5,0,0,0.0,0.0,10
2026,Kopite,6,0,0,0.0,0.0,10
2026,chaituat,7,0,0,0.0,0.0,10
2026,cardinalsin,8,0,0,0.0,0.0,10
2026,rookieqbme,9,0,0,0.0,0.0,10
2026,siddharthasagar,10,0,0,0.0,0.0,10
2025,addyrao,1,20,8,2536.94,2384.97,3
2025,skongara,2,20,8,2257.66,2242.59,1
2025,bluewatermelon,3,6,22,2061.32,2374.57,10
2025,DjBallz,4,9,19,2173.36,2196.07,10
2025,vnayini,5,16,12,2170.57,2199.53,4
2025,Kopite,6,21,7,2412.81,2224.81,2
2025,chaituat,7,12,16,2301.41,2332.91,10
2025,cardinalsin,8,8,20,2180.35,2151.18,10
2025,rookieqbme,9,14,14,2289.35,2225.2,5
2025,siddharthasagar,10,14,14,2379.84,2431.78,6
2024,addyrao,1,8,20,2195.51,2369.09,10
2024,skongara,2,21,7,2629.12,2266.2,4
2024,bluewatermelon,3,12,16,2266.16,2325.0,10
2024,DjBallz,4,19,9,2402.94,2317.77,3
2024,vnayini,5,12,16,2358.92,2688.32,5
2024,Kopite,6,16,12,2443.68,2281.91,6
2024,chaituat,7,12,16,2251.27,2230.81,10
2024,cardinalsin,8,12,16,2411.56,2391.22,2
2024,rookieqbme,9,9,19,2300.4,2470.34,10
2024,siddharthasagar,10,19,9,2499.18,2418.08,1
