season,sleeper_id,player_name,position,team,total_pts,pos_rank
2025,SEA,Seattle Seahawks,DEF,SEA,440.6,1
2025,HOU,Houston Texans,DEF,HOU,425.18,2
2025,4034,Christian McCaffrey,RB,SF,409.3,1
2025,6813,Jonathan Taylor,RB,IND,400.0,2
2025,DEN,Denver Broncos,DEF,DEN,392.28,3
2025,9509,Bijan Robinson,RB,ATL,391.1,3
2025,JAX,Jacksonville Jaguars,DEF,JAX,389.38,4
2025,9221,Jahmyr Gibbs,RB,DET,376.5,4
2025,MIN,Minnesota Vikings,DEF,MIN,375.56,5
2025,CLE,Cleveland Browns,DEF,CLE,373.06,6
2025,4984,Josh Allen,QB,BUF,365.3,1
2025,LAR,Los Angeles Rams,DEF,LAR,364.22,7
2025,8138,James Cook,RB,BUF,360.8,5
2025,421,Matthew Stafford,QB,LAR,355.05,2
2025,PHI,Philadelphia Eagles,DEF,PHI,351.5,8
2025,NE,New England Patriots,DEF,NE,348.36,9
2025,NO,New Orleans Saints,DEF,NO,347.76,10
2025,LAC,Los Angeles Chargers,DEF,LAC,345.86,11
2025,9488,Jaxon Smith-Njigba,WR,SEA,345.7,1
2025,ATL,Atlanta Falcons,DEF,ATL,344.66,12
2025,8130,Trey McBride,TE,ARI,344.3,1
2025,3198,Derrick Henry,RB,BAL,343.0,6
2025,PIT,Pittsburgh Steelers,DEF,PIT,340.04,13
2025,11564,Drake Maye,QB,NE,338.0,3
2025,9493,Puka Nacua,WR,LAR,336.1,2
2025,9226,De'Von Achane,RB,MIA,334.9,7
2025,BUF,Buffalo Bills,DEF,BUF,334.64,14
2025,CHI,Chicago Bears,DEF,CHI,331.22,15
2025,3294,Dak Prescott,QB,DAL,325.4,4
2025,DET,Detroit Lions,DEF,DET,317.18,16
2025,7523,Trevor Lawrence,QB,JAX,308.65,5
2025,TB,Tampa Bay Buccaneers,DEF,TB,307.0,17
2025,11560,Caleb Williams,QB,CHI,304.5,6
2025,KC,Kansas City Chiefs,DEF,KC,303.74,18
2025,IND,Indianapolis Colts,DEF,IND,302.92,19
2025,11563,Bo Nix,QB,DEN,302.15,7
2025,3163,Jared Goff,QB,DET,294.6,8
2025,BAL,Baltimore Ravens,DEF,BAL,293.46,20
2025,6904,Jalen Hurts,QB,PHI,290.27,9
2025,7547,Amon-Ra St. Brown,WR,DET,286.1,3
2025,7564,Ja'Marr Chase,WR,CIN,283.4,4
2025,9224,Chase Brown,RB,CIN,280.9,8
2025,CAR,Carolina Panthers,DEF,CAR,277.0,21
2025,MIA,Miami Dolphins,DEF,MIA,274.9,22
2025,7543,Travis Etienne,RB,NO,273.3,9
2025,8150,Kyren Williams,RB,LAR,271.92,10
2025,GB,Green Bay Packers,DEF,GB,271.7,23
2025,4046,Patrick Mahomes,QB,KC,267.45,10
2025,8137,George Pickens,WR,DAL,267.1,5
2025,LV,Las Vegas Raiders,DEF,LV,265.92,24
2025,6797,Justin Herbert,QB,LAC,264.05,11
2025,ARI,Arizona Cardinals,DEF,ARI,262.94,25
2025,4866,Saquon Barkley,RB,PHI,258.6,11
2025,7588,Javonte Williams,RB,DAL,257.5,12
2025,NYG,New York Giants,DEF,NYG,257.36,26
2025,CIN,Cincinnati Bengals,DEF,CIN,257.02,27
2025,12527,Ashton Jeanty,RB,LV,253.7,13
2025,TEN,Tennessee Titans,DEF,TEN,251.52,28
2025,4892,Baker Mayfield,QB,TB,249.85,12
2025,7021,Rico Dowdle,RB,PIT,246.88,14
2025,6790,D'Andre Swift,RB,CHI,244.5,15
2025,4943,Sam Darnold,QB,SEA,242.6,13
2025,5850,Josh Jacobs,RB,GB,240.9,16
2025,WAS,Washington Commanders,DEF,WAS,237.72,29
2025,6804,Jordan Love,QB,GB,237.55,14
2025,6949,Jordyn Brooks,LB,MIA,235.8,1
2025,8228,Jaylen Warren,RB,PIT,234.9,17
2025,7553,Kyle Pitts,TE,ATL,233.0,2
2025,SF,San Francisco 49ers,DEF,SF,230.84,30
2025,8155,Breece Hall,RB,NYJ,230.4,18
2025,12529,TreVeyon Henderson,RB,NE,227.56,19
2025,8144,Chris Olave,WR,NO,227.4,6
2025,10880,Jack Campbell,LB,DET,227.05,2
2025,5870,Daniel Jones,QB,IND,226.35,15
2025,6119,Devin White,LB,,225.75,3
2025,1233,Bobby Wagner,LB,,221.93,4
2025,7567,Kenny Gainwell,RB,TB,221.22,20
2025,12508,Jaxson Dart,QB,NYG,216.8,16
2025,DAL,Dallas Cowboys,DEF,DAL,216.16,31
2025,9997,Zay Flowers,WR,BAL,214.7,7
2025,1466,Travis Kelce,TE,KC,210.2,3
2025,12489,RJ Harvey,RB,DEN,209.92,21
2025,2747,Jason Myers,K,SEA,209.0,1
2025,8151,Kenneth Walker,RB,KC,207.9,22
2025,8148,Jameson Williams,WR,DET,207.5,8
2025,NYJ,New York Jets,DEF,NYJ,206.44,32
2025,11742,Cedric Gray,LB,TEN,205.47,5
2025,96,Aaron Rodgers,QB,PIT,205.1,17
2025,5967,Tony Pollard,RB,TEN,204.2,23
2025,3257,Jacoby Brissett,QB,ARI,203.4,18
2025,12518,Tyler Warren,TE,IND,203.3,4
2025,7569,Nico Collins,WR,HOU,203.3,9
2025,3451,Ka'imi Fairbairn,K,HOU,203.0,2
2025,9758,C.J. Stroud,QB,HOU,202.75,19
2025,9228,Bryce Young,QB,CAR,201.75,20
2025,8289,Aidan Hutchinson,DL,DET,200.7,1
2025,5859,A.J. Brown,WR,NE,199.0,10
2025,12506,Harold Fannin,TE,CLE,198.9,5
2025,5022,Dallas Goedert,TE,PHI,198.6,6
2025,11533,Brandon Aubrey,K,DAL,197.7,3
2025,11604,Brock Bowers,TE,LV,197.5,7
2025,4881,Lamar Jackson,QB,BAL,196.05,21
2025,3214,Hunter Henry,TE,NE,195.3,8
2025,2133,Davante Adams,WR,LAR,194.9,11
2025,8110,Jake Ferguson,TE,DAL,194.0,9
2025,10232,Michael Wilson,WR,ARI,193.8,12
2025,5843,Devin Bush,LB,CHI,193.6,6
2025,7648,Nick Bolton,LB,KC,192.5,7
2025,9753,Zach Charbonnet,RB,SEA,192.3,24
2025,7002,Juwan Johnson,TE,NO,191.7,10
2025,8112,Drake London,WR,ATL,190.6,13
2025,6786,CeeDee Lamb,WR,DAL,190.0,14
2025,7841,Jamien Sherwood,LB,NYJ,190.0,8
2025,5001,Dalton Schultz,TE,HOU,190.0,11
2025,5045,Courtland Sutton,WR,DEN,189.3,15
2025,8659,Nate Landman,LB,LAR,188.25,9
2025,6315,Tyrel Dodson,LB,MIA,188.15,10
2025,5332,Foyesade Oluokun,LB,JAX,187.5,11
2025,2449,Stefon Diggs,WR,,187.3,16
2025,12526,Tetairoa McMillan,WR,CAR,186.4,17
2025,6801,Tee Higgins,WR,CIN,185.7,18
2025,5944,Bobby Okereke,LB,,184.35,12
2025,12578,Carson Schwesinger,LB,CLE,184.15,13
2025,12512,Quinshon Judkins,RB,CLE,183.7,25
2025,10917,Byron Young,LB,LAR,183.0,14
2025,12517,Colston Loveland,TE,CHI,182.4,12
2025,8126,Wan'Dale Robinson,WR,TEN,182.14,19
2025,9487,Parker Washington,WR,JAX,181.24,20
2025,7136,Kam Curl,DB,LAR,180.0,1
2025,7611,Rhamondre Stevenson,RB,NE,179.7,26
2025,8183,Brock Purdy,QB,SF,179.45,22
2025,7672,Ernest Jones,LB,SEA,179.0,15
2025,4217,George Kittle,TE,SF,177.9,13
2025,12540,Chimere Dike,WR,TEN,177.84,21
2025,6815,Zack Baun,LB,PHI,177.75,16
2025,12514,Emeka Egbuka,WR,TB,175.6,22
2025,8142,Alec Pierce,WR,IND,175.1,23
2025,8259,Cameron Dicker,K,LAC,174.0,4
2025,10892,Will Anderson,DL,HOU,174.0,2
