season,week,manager,player_added,position,player_dropped,faab_bid
2025,1,vnayini,Derwin James,DB,None,0
2025,1,Kopite,Marquise Brown,WR,Byron Murphy,0
2025,1,skongara,Jaylen Waddle,WR,None,0
2025,1,rookieqbme,Jordyn Brooks,LB,Andrew Van Ginkel,0
2025,1,DjBallz,Nate Landman,LB,Terrel Bernard,0
2025,1,cardinalsin,Keenan Allen,WR,Kevin Byard,0
2025,1,addyrao,Jessie Bates,DB,Kyle Hamilton,0
2025,1,addyrao,Michael Pittman,WR,Adam Thielen,0
2025,1,bluewatermelon,Dylan Sampson,RB,RJ Harvey,0
2025,1,bluewatermelon,Bobby Okereke,LB,Robert Spillane,0
2025,1,bluewatermelon,Indianapolis Colts,DEF,Malaki Starks,0
2025,1,DjBallz,Pete Werner,LB,Blake Cashman,0
2025,1,DjBallz,Los Angeles Chargers,DEF,Washington Commanders,0
2025,1,DjBallz,Hunter Henry,TE,Evan Engram,0
2025,1,skongara,George Pickens,WR,None,0
2025,1,vnayini,Daniel Jones,QB,None,0
2025,1,vnayini,Dallas Cowboys,DEF,None,0
2025,1,rookieqbme,Keon Coleman,WR,Christian Benford,0
2025,1,chaituat,Antoine Winfield,DB,Marlon Humphrey,0
2025,2,Kopite,Paulson Adebo,CB,None,0
2025,2,Kopite,Tampa Bay Buccaneers,DEF,San Francisco 49ers,0
2025,2,Kopite,Bhayshul Tuten,RB,Xavier Watts,0
2025,2,vnayini,Atlanta Falcons,DEF,None,0
2025,2,addyrao,Zach Ertz,TE,David Njoku,0
2025,2,addyrao,Quentin Johnston,WR,Brian Robinson,0
2025,2,addyrao,D.J. Reed,CB,Jessie Bates,0
2025,2,vnayini,Kyle Hamilton,DB,None,0
2025,2,cardinalsin,Mac Jones,QB,Alex Singleton,0
2025,2,bluewatermelon,Jauan Jennings,WR,Tyrone Tracy,0
2025,2,cardinalsin,Jake Ferguson,TE,T.J. Hockenson,0
2025,2,bluewatermelon,Jake Browning,QB,Zyon McCollum,0
2025,2,siddharthasagar,Chamarri Conner,DB,Bryce Young,0
2025,2,siddharthasagar,Kansas City Chiefs,DEF,None,0
2025,2,skongara,Rhamondre Stevenson,RB,Arizona Cardinals,0
2025,2,cardinalsin,Cam Skattebo,RB,Tarheeb Still,0
2025,2,DjBallz,Carson Wentz,QB,None,0
